"StationName","StationLocation","DateTime","RecordId","RoadSurfaceTemperature","AirTemperature"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:37:00 AM","6585723","45.60","39.19"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:38:00 AM","6585724","45.60","39.06"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:39:00 AM","6585725","45.59","39.21"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:40:00 AM","6585726","45.58","39.65"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:36:00 AM","5285792","42.56","42.37"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:37:00 AM","5285793","42.57","42.25"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:38:00 AM","5285794","42.57","42.15"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:39:00 AM","5285795","42.56","42.06"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:40:00 AM","5285796","42.56","41.84"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:41:00 AM","5285797","42.56","41.66"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:42:00 AM","5285798","42.56","41.59"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:43:00 AM","5285799","42.57","41.53"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:44:00 AM","5285800","42.58","41.53"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:45:00 AM","5285801","42.58","41.46"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:46:00 AM","5285802","42.59","41.49"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:47:00 AM","5285803","42.61","41.59"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 08:48:00 AM","5285804","42.62","41.58"
